train_start,train_end,test_start,test_end,model,weight,n_obs_train,n_obs_test,n_assets_train,n_assets_test,test_auc,test_acc,test_bal_acc,test_logloss,test_brier,test_ic_spearman,val_auc,val_acc,val_bal_acc,val_logloss,val_brier,val_ic_spearman
2010-06-25,2011-06-23,2011-06-24,2011-07-25,RidgeLogit,0.10572402741076717,24696,2058,98,98,0.46416223021209035,0.47910592808551994,0.47910592808551994,0.7014195108294835,0.2539674240910765,-0.06207284543054012,0.5266733469268128,0.5170068027210885,0.5170068027210885,0.6916807208655691,0.24929958139080913,0.04619959269115402
2010-06-25,2011-06-23,2011-06-24,2011-07-25,RandomForest,0.3258123476690248,24696,2058,98,98,0.5554006692222911,0.5335276967930029,0.5335276967930029,0.6884591604847519,0.2476986104130534,0.095956785194371,0.9018364838955466,0.8113054745707807,0.8113054745707806,0.5745197709226111,0.193141270459725,0.6960012155714147
2010-06-25,2011-06-23,2011-06-24,2011-07-25,GradientBoosting,0.18899953462023203,24696,2058,98,98,0.5352805567597023,0.5140913508260447,0.5140913508260447,0.6911275136284408,0.24911190049287738,0.061107803815785566,0.720310803143353,0.6488500161969549,0.648850016196955,0.6430153440420268,0.22577655495562937,0.3815895637717538
2010-06-25,2011-06-23,2011-06-24,2011-07-25,XGBoost,0.37946409029959655,24696,2058,98,98,0.5648572354111713,0.5340136054421769,0.5340136054421769,0.6951294702401745,0.2511772738867925,0.11233604023227958,0.952649275114121,0.8760932944606414,0.8760932944606414,0.4377762118368755,0.13248709710069947,0.784011552790813
2010-06-25,2011-06-23,2011-06-24,2011-07-25,Ensemble,1.0,24696,2058,98,98,0.5599046504621563,0.5310981535471332,0.5310981535471332,0.6858430471885211,0.24658381255796205,0.10375791045910544,,,,,,
2010-07-02,2011-06-30,2011-07-01,2011-08-01,RidgeLogit,0.10542595590631024,24696,2058,98,98,0.4621968737515831,0.47327502429543244,0.47327502429543244,0.7005576259528337,0.2535593571880473,-0.06547694307698852,0.5251154590517157,0.5170068027210885,0.5170068027210885,0.6922387365737181,0.24957694684346599,0.04350125170359623
2010-07-02,2011-06-30,2011-07-01,2011-08-01,RandomForest,0.317664565569172,24696,2058,98,98,0.5386890005203804,0.5252672497570456,0.5252672497570456,0.6956142330809413,0.25090636006405187,0.06701132250628626,0.8927778370669229,0.8007774538386784,0.8007774538386783,0.575381870743051,0.1938045007867205,0.6803111788106085
2010-07-02,2011-06-30,2011-07-01,2011-08-01,GradientBoosting,0.1971342293321045,24696,2058,98,98,0.5099698632750338,0.5048590864917396,0.5048590864917395,0.6968251216784492,0.25186012633600996,0.017268325249168864,0.7337407914250895,0.6663427275672174,0.6663427275672174,0.6404795416669522,0.22453408084285134,0.40485098398926345
2010-07-02,2011-06-30,2011-07-01,2011-08-01,XGBoost,0.3797752491920334,24696,2058,98,98,0.5612929608883676,0.5524781341107872,0.5524781341107872,0.7057119309120276,0.254963838608794,0.10616253497439462,0.9523057128816632,0.8781988986070619,0.8781988986070619,0.43337044457604157,0.13100049850774761,0.7834164855508153
2010-07-02,2011-06-30,2011-07-01,2011-08-01,Ensemble,1.0,24696,2058,98,98,0.5479566809369867,0.5374149659863946,0.5374149659863945,0.6916395994986309,0.2492758399755977,0.08306341775116761,,,,,,
