bucket,mean,std,count
0,0.008765340034962077,0.08457649441164918,34018
1,0.010676255176557504,0.08093571927623701,34018
2,0.011146315473870856,0.08198342511211838,34017
3,0.010524784827200396,0.08147809612174078,30617
4,0.01107673187826807,0.07952403649597632,34018
5,0.011263984212776855,0.07973796039894268,34017
6,0.010856211100790809,0.07876888983142201,30617
7,0.011597176040851241,0.08041445803225394,34017
8,0.012889263387253092,0.0802388703531525,34018
9,0.014944127699439915,0.08922377359691884,34018
