feature,auc_mean,auc_std,acc_mean,bal_acc_mean,logloss_mean,brier_mean,ic_spearman_mean,ic_spearman_std,n_windows,avg_n_assets_train,avg_n_assets_test,avg_n_obs_train,avg_n_obs_test
cs_z_return_20d,0.5026184634012454,0.03581769353733863,0.5018896447467877,0.5018916459649367,0.6932529107582651,0.25005267718826985,0.004591986217010233,0.06242250870526337,162,98.0,98.0,24696.0,2058.0
ma_60d,0.5023723441824749,0.036365412824557124,0.49972705131435285,0.49971492633073966,0.6930862364746996,0.24995685115276664,0.0041345607231340386,0.06318120820654761,162,98.0,98.0,24696.0,2058.0
ma_120d,0.5023014132082193,0.03643556178586307,0.5011247885397545,0.5011126635561414,0.6930957539017508,0.24996100434303675,0.0039861849328154,0.06310823275702004,162,98.0,98.0,24696.0,2058.0
dist_from_ma_10d,0.5021764554456635,0.02148063109698142,0.5000029994361059,0.5000200297352408,0.6931761582858075,0.2500142809992278,0.0037697253834681854,0.03720554629398795,162,98.0,98.0,24696.0,2058.0
return_5d,0.5016861595749649,0.019567570423436903,0.5008368426735773,0.5008516206985428,0.693167243828437,0.2500099289835776,0.0029386479946164053,0.0339963356388641,162,98.0,98.0,24696.0,2058.0
dist_from_ma_5d,0.5002262424323324,0.017429054946522547,0.4998020372170033,0.49981457393747625,0.6931695689341578,0.2500111510449835,0.0003942980191470643,0.030281602831960706,162,98.0,98.0,24696.0,2058.0
vol_chg_20d,0.49998876887529986,0.01677747685413745,0.4997990377808971,0.49976604398373103,0.6931865011992645,0.2500195800401107,-2.007239940340663e-05,0.02951854894858226,162,98.0,98.0,24696.0,2058.0
risk_adj_return_120d,0.4997657730610789,0.04052907501886326,0.49966106372002067,0.4996690813074701,0.6933488872866015,0.2501007961582553,-0.0004185976815100091,0.07130742687053115,162,98.0,98.0,24696.0,2058.0
vol_chg_120d,0.49974440300207107,0.021939918194840036,0.4999730050750458,0.4999665833263123,0.6932114273202032,0.2500301462852089,-0.0004482325642562549,0.0382377891199847,162,98.0,98.0,24696.0,2058.0
vol_chg_5d,0.4997000237402946,0.01190464732492504,0.5003179402272373,0.5003096950813145,0.6931699395556395,0.2500112423062998,-0.0005327222646914013,0.020878658911744476,162,98.0,98.0,24696.0,2058.0
risk_adj_return_60d,0.4987534171367338,0.039138599567218726,0.4989561962351078,0.49897034406458585,0.6933715257495033,0.2501119882874373,-0.0021725348408260063,0.0680000212334122,162,98.0,98.0,24696.0,2058.0
vol_chg_10d,0.4976234207271038,0.014918304540122893,0.49789439585357953,0.49788560864355297,0.6931804595192657,0.25001623349934826,-0.004194023788584704,0.026075646709555048,162,98.0,98.0,24696.0,2058.0
